exp_num,epoch_num,train/test,exact_match,animal_match,shown_signs_accuracy,shown_signs_precision,shown_signs_recall,shown_signs_f1_score,num_missing_signs,num_extra_signs,model
0,10,test,0.0,1.0,0.0,0.0,0.0,0.0,17.17,0.0,pythia
0,20,test,0.0,1.0,88.31,0.9,0.76,0.75,0.0,2.83,pythia
0,3,test,0.0,1.0,87.36,0.94,0.76,0.74,0.0,2.83,pythia
1,10,test,0.0,1.0,91.15,0.96,0.79,0.77,0.0,2.83,pythia
1,20,test,0.0,1.0,87.85,0.93,0.76,0.76,0.0,2.83,pythia
1,3,test,0.0,1.0,74.71,0.84,0.65,0.64,0.0,2.83,pythia
2,10,test,0.0,1.0,81.61,0.89,0.71,0.7,0.0,2.83,pythia
2,20,test,0.0,1.0,88.93,0.94,0.77,0.76,0.0,2.83,pythia
2,3,test,0.0,1.0,83.49,0.91,0.72,0.71,0.0,2.83,pythia
3,10,test,0.0,1.0,85.06,0.92,0.74,0.72,0.0,2.83,pythia
3,3,test,0.0,1.0,75.17,0.83,0.65,0.64,0.0,2.83,pythia
4,20,test,0.0,1.0,0.0,0.87,0.06,0.04,17.17,2.0,pythia
4,3,test,0.0,1.0,0.0,0.87,0.06,0.04,17.17,2.0,pythia
5,10,test,0.0,1.0,0.0,0.87,0.06,0.04,17.17,2.0,pythia
5,20,test,0.0,1.0,0.0,0.87,0.06,0.04,17.17,2.0,pythia
5,3,test,0.0,1.0,0.0,0.87,0.06,0.04,17.17,2.0,pythia
0,10,train,0.0,1.0,0.0,0.0,0.0,0.0,16.97,0.0,pythia
0,20,train,0.0,1.0,0.0,0.0,0.0,0.0,16.97,0.0,pythia
0,3,train,0.0,1.0,89.29,0.94,0.76,0.75,0.11,3.02,pythia
1,10,train,0.0,1.0,94.31,0.97,0.8,0.8,0.0,3.03,pythia
1,20,train,0.0,1.0,93.62,0.95,0.8,0.8,0.0,3.03,pythia
1,3,train,0.0,1.0,76.43,0.85,0.65,0.65,0.0,3.03,pythia
2,10,train,0.0,1.0,82.86,0.89,0.71,0.7,0.11,3.02,pythia
2,20,train,0.0,1.0,91.12,0.94,0.77,0.77,0.11,3.02,pythia
2,3,train,0.0,1.0,83.54,0.89,0.71,0.7,0.11,3.02,pythia
3,10,train,0.0,1.0,87.23,0.93,0.74,0.73,0.0,3.03,pythia
3,3,train,0.0,1.0,76.18,0.84,0.65,0.64,0.0,3.03,pythia
4,20,train,0.0,1.0,0.0,0.87,0.06,0.04,17.17,2.0,pythia
4,3,train,0.0,1.0,0.0,0.87,0.04,0.03,16.97,2.0,pythia
5,10,train,0.0,1.0,0.0,0.87,0.04,0.03,16.97,2.0,pythia
5,20,train,0.0,1.0,0.0,0.87,0.04,0.03,16.97,2.0,pythia
5,3,train,0.0,1.0,0.0,0.87,0.04,0.03,16.97,2.0,pythia
