exp_num,epoch_num,train/test,exact_match,animal_match,shown_signs_accuracy,shown_signs_precision,shown_signs_recall,shown_signs_f1_score,num_missing_signs,num_extra_signs,model
0,10,test,0.0,0.28,44.48,0.62,0.45,0.49,2.17,0.0,gpt
0,20,test,0.0,0.28,43.3,0.62,0.43,0.48,2.17,0.0,gpt
0,3,test,0.0,0.28,45.63,0.63,0.46,0.49,2.17,0.0,gpt
1,10,test,0.0,0.28,43.3,0.62,0.43,0.48,2.17,0.0,gpt
1,3,test,0.0,0.28,43.3,0.62,0.43,0.48,2.17,0.0,gpt
2,10,test,0.0,0.28,43.56,0.63,0.44,0.48,2.17,0.0,gpt
2,3,test,0.0,0.28,45.63,0.63,0.46,0.49,2.17,0.0,gpt
0,10,train,0.01,0.34,48.62,0.62,0.49,0.53,1.97,0.0,gpt
0,20,train,0.01,0.34,47.62,0.62,0.48,0.52,1.97,0.0,gpt
0,3,train,0.0,0.34,49.86,0.64,0.5,0.53,1.97,0.0,gpt
1,10,train,0.01,0.34,47.62,0.62,0.48,0.52,1.97,0.0,gpt
1,3,train,0.01,0.34,47.62,0.62,0.48,0.52,1.97,0.0,gpt
2,10,train,0.01,0.34,47.42,0.63,0.48,0.52,1.97,0.0,gpt
2,3,train,0.0,0.34,50.2,0.64,0.5,0.53,1.97,0.0,gpt
